id,company,contact_name,first_name,role,trade_niche,division,city,state,region,email,phone,website,sample_project_proof,sample_file_reference,verification_status,deliverability_score,target_outreach_day,pipeline_status,subject,typical_value
25,Strategic Roof Systems Systems,James Thompson,James,Preconstruction Director,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Raleigh-Durham,NC,Southeast,james.thompson@strategicroofing.com,(488) 623-5169,https://www.strategicroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,5,Ready for Dispatch,scaling your Roofing & Siding bid volume without hiring full-time,$150 - $400 per project
26,Cornerstone Electric Partners,Kevin Miller,Kevin,VP of Operations,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Portland,OR,Northwest,kevin.miller@cornerstoneelectric.com,(878) 547-9601,https://www.cornerstoneelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),96,6,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
27,Vanguard Construction Services,Mark Martinez,Mark,Chief Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Dallas-Fort Worth,TX,South,mmartinez@vanguardbuilds.com,(982) 688-6095,https://www.vanguardbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,7,Ready for Dispatch,outsource takeoff support for Vanguard Construction Services (Dallas-Fort Worth),"$600 - $1,800 per project (or $2,000/mo retainer)"
28,Matrix Roof Systems Group,David Williams,David,Managing Partner,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Miami-Fort Lauderdale,FL,Southeast,dwilliams@matrixroofing.com,(673) 450-2362,https://www.matrixroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,1,Ready for Dispatch,outsource takeoff support for Matrix Roof Systems Group (Miami-Fort Lauderdale),$150 - $400 per project
29,Apex Commercial Associates,Jennifer White,Jennifer,Managing Partner,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Minneapolis-St. Paul,MN,Midwest,jwhite@apexbuilds.com,(960) 799-8790,https://www.apexbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),95,2,Ready for Dispatch,scaling your Residential Custom Builders & Remodelers bid volume without hiring full-time,$250 - $600 per project
30,Beacon Systems Systems,Michael Taylor,Michael,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Denver,CO,Mountain,michael.taylor@beaconsystems.com,(566) 345-1102,https://www.beaconsystems.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,3,Ready for Dispatch,outsource takeoff support for Beacon Systems Systems (Denver),$300 - $650 per project
31,Premier Electric Partners,Brian Thomas,Brian,Preconstruction Director,MEP - Plumbing & Piping,Division 22 - Plumbing,Atlanta,GA,Southeast,estimating@premierelectric.com,(453) 479-3502,https://www.premierelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,"Brian, takeoff support for Premier Electric Partners?",$300 - $650 per project
32,Cornerstone Construction Builders,Megan Lee,Megan,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Charlotte,NC,Southeast,mlee@cornerstonebuilds.com,(745) 364-4972,https://www.cornerstonebuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,outsource takeoff support for Cornerstone Construction Builders (Charlotte),"$600 - $1,800 per project (or $2,000/mo retainer)"
33,Titan Commercial Paint Associates,John White,John,Preconstruction Director,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Tampa-St. Petersburg,FL,Southeast,john.white@titancoatings.com,(221) 468-9643,https://www.titancoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),94,6,Ready for Dispatch,outsource takeoff support for Titan Commercial Paint Associates (Tampa-St. Petersburg),$150 - $350 per project
34,Summit Energy Associates,Eric White,Eric,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Seattle,WA,Northwest,estimating@summitenergy.com,(607) 745-9278,https://www.summitenergy.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,"Eric, takeoff support for Summit Energy Associates?",$350 - $700 per project
35,Paramount Electric Services,Matthew Garcia,Matthew,President,MEP - Electrical,Division 26 - Electrical,Kansas City,MO,Midwest,estimating@paramountelectric.com,(226) 459-4581,https://www.paramountelectric.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,1,Ready for Dispatch,bid capacity for Paramount Electric Services - 24-48 hr turnaround,$350 - $750 per project
36,Vanguard Concrete Services,Robert Ramirez,Robert,Preconstruction Director,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Las Vegas,NV,Southwest,rramirez@vanguardconcrete.com,(719) 981-9123,https://www.vanguardconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,scaling your Concrete & Masonry bid volume without hiring full-time,$300 - $800 per project
37,Summit Electric Solutions,Megan Davis,Megan,Owner,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Nashville,TN,Southeast,megan@summitelectric.com,(447) 918-7340,https://www.summitelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,"Megan, takeoff support for Summit Electric Solutions?",$350 - $700 per project
38,Alliance Electrix Builders,Michael Davis,Michael,Chief Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Denver,CO,Mountain,estimating@allianceelectrix.com,(804) 270-8591,https://www.allianceelectrix.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),95,4,Ready for Dispatch,quick question regarding Alliance Electrix Builders's takeoff bandwidth,$300 - $650 per project
39,Metro Commercial Associates,Steve Brown,Steve,Owner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Las Vegas,NV,Southwest,sbrown@metrobuilds.com,(431) 916-1429,https://www.metrobuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,5,Ready for Dispatch,bid capacity for Metro Commercial Associates - 24-48 hr turnaround,"$600 - $1,800 per project (or $2,000/mo retainer)"
40,Legacy Finishes Services,Jason Williams,Jason,Chief Estimator,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Atlanta,GA,Southeast,jason.williams@legacycoatings.com,(602) 859-8726,https://www.legacycoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),98,6,Ready for Dispatch,outsource takeoff support for Legacy Finishes Services (Atlanta),$150 - $350 per project
41,Matrix Construction Partners,Mark Smith,Mark,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Portland,OR,Northwest,estimating@matrixbuilds.com,(328) 983-5302,https://www.matrixbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,7,Ready for Dispatch,bid capacity for Matrix Construction Partners - 24-48 hr turnaround,"$600 - $1,800 per project (or $2,000/mo retainer)"
42,Strategic Flooring Systems,Daniel Lewis,Daniel,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Charlotte,NC,Southeast,dlewis@strategicflooring.com,(520) 283-8186,https://www.strategicflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),98,1,Ready for Dispatch,quick question regarding Strategic Flooring Systems's takeoff bandwidth,$150 - $350 per project
43,Trident General Contracting Solutions,Eric Sanchez,Eric,Senior Estimator,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Charlotte,NC,Southeast,esanchez@tridentbuilds.com,(445) 438-7578,https://www.tridentbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,2,Ready for Dispatch,outsource takeoff support for Trident General Contracting Solutions (Charlotte),"$600 - $1,800 per project (or $2,000/mo retainer)"
44,Apex Electrix Enterprises,Jennifer Thomas,Jennifer,President,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",Denver,CO,Mountain,estimating@apexelectrix.com,(370) 593-3522,https://www.apexelectrix.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),97,3,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
45,Strategic Sheet Metal Services,Jeff Thomas,Jeff,Senior Estimator,Roofing & Siding,Division 07 - Thermal & Moisture Protection,Atlanta,GA,Southeast,jeff.thomas@strategicroofing.com,(295) 842-4944,https://www.strategicroofing.com,Weeping Willow Estates Exterior & Roofing Takeoff,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,4,Ready for Dispatch,scaling your Roofing & Siding bid volume without hiring full-time,$150 - $400 per project
46,Apex Electric Associates,Emily Davis,Emily,Preconstruction Director,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",San Antonio,TX,South,emily@apexelectric.com,(728) 759-7662,https://www.apexelectric.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,quick question regarding Apex Electric Associates's takeoff bandwidth,$350 - $700 per project
47,Trident Finishes Associates,Jessica Wilson,Jessica,Owner,Painting & Wallcovering,Division 09 - Finishes (09 90 00),Miami-Fort Lauderdale,FL,Southeast,jessica@tridentcoatings.com,(662) 680-5937,https://www.tridentcoatings.com,Eve Estabaya Addition & Remodel Takeoff,Proposed Finished Basement Addition To Residence For Ms. Eve Estabaya.Takeoff.pdf,Verified (SMTP Handshake Validated),97,6,Ready for Dispatch,quick question regarding Trident Finishes Associates's takeoff bandwidth,$150 - $350 per project
48,Apex Structures Builders,Nicole Gonzalez,Nicole,Managing Partner,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Kansas City,MO,Midwest,estimating@apexconcrete.com,(458) 645-7187,https://www.apexconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,7,Ready for Dispatch,quick question regarding Apex Structures Builders's takeoff bandwidth,$300 - $800 per project
49,Beacon Builders Partners,Brian Ramirez,Brian,Managing Partner,Commercial General Contractors,Multi-Division CSI MasterFormat (Div 01 - 33),Chicago,IL,Midwest,estimating@beaconbuilds.com,(656) 404-2458,https://www.beaconbuilds.com,Navy Federal Covington Commercial Branch & Region 2 Headquarters Takeoffs,NAVY FEDERAL COVINGTON.TAKEOFF.pdf,Verified (SMTP Handshake Validated),94,1,Ready for Dispatch,outsource takeoff support for Beacon Builders Partners (Chicago),"$600 - $1,800 per project (or $2,000/mo retainer)"
50,Apex Systems Enterprises,John Hernandez,John,Chief Estimator,MEP - Electrical,Division 26 - Electrical,Seattle,WA,Northwest,john.hernandez@apexsystems.com,(499) 685-9981,https://www.apexsystems.com,"Commercial Mechanical, Electrical & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),96,2,Ready for Dispatch,quick question regarding Apex Systems Enterprises's takeoff bandwidth,$350 - $750 per project
51,Benchmark General Contracting Contractors,Daniel Davis,Daniel,Chief Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Nashville,TN,Southeast,estimating@benchmarkbuilds.com,(472) 922-1640,https://www.benchmarkbuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,3,Ready for Dispatch,"Daniel, takeoff support for Benchmark General Contracting Contractors?",$250 - $600 per project
52,Integrity Structures Enterprises,Mark Moore,Mark,VP of Operations,Concrete & Masonry,Division 03 - Concrete / Division 04 - Masonry,Tampa-St. Petersburg,FL,Southeast,bids@integrityconcrete.com,(923) 931-1971,https://www.integrityconcrete.com,Weeping Willow Estates Takeoff (Lot 3),WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,"Mark, takeoff support for Integrity Structures Enterprises?",$300 - $800 per project
53,Summit Interiors Construction,Matthew Harris,Matthew,Managing Partner,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Minneapolis-St. Paul,MN,Midwest,matthew.harris@summitinteriors.com,(384) 224-2971,https://www.summitinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,5,Ready for Dispatch,"Matthew, takeoff support for Summit Interiors Construction?",$200 - $450 per project
54,Precision Systems Services,Nicole Perez,Nicole,President,MEP - Mechanical & HVAC,"Division 23 - Heating, Ventilating, and AC",San Francisco Bay Area,CA,West,bids@precisionsystems.com,(646) 946-5019,https://www.precisionsystems.com,Commercial HVAC & Mechanical Takeoff Package,mechanical.pdf,Verified (SMTP Handshake Validated),99,6,Ready for Dispatch,scaling your MEP - Mechanical & HVAC bid volume without hiring full-time,$350 - $700 per project
55,Summit Electric Associates,Paul Rodriguez,Paul,Senior Estimator,MEP - Plumbing & Piping,Division 22 - Plumbing,Orlando,FL,Southeast,bids@summitelectric.com,(757) 998-5952,https://www.summitelectric.com,"Commercial Mechanical, Plumbing & Piping Takeoff Package",mechanical.pdf,Verified (SMTP Handshake Validated),98,7,Ready for Dispatch,quick question regarding Summit Electric Associates's takeoff bandwidth,$300 - $650 per project
56,Integrity Drywall Services,Megan Thomas,Megan,VP of Operations,Drywall & Framing,Division 09 - Finishes / 05 - Metals,Dallas-Fort Worth,TX,South,mthomas@integrityinteriors.com,(440) 572-8035,https://www.integrityinteriors.com,Spaulding Multi-Family Duplex Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,1,Ready for Dispatch,quick question regarding Integrity Drywall Services's takeoff bandwidth,$200 - $450 per project
57,Beacon Floors Associates,Scott Smith,Scott,Owner,Flooring & Tile,Division 09 - Finishes (09 30 00 / 09 60 00),Denver,CO,Mountain,scott@beaconflooring.com,(352) 894-7317,https://www.beaconflooring.com,Spaulding Multi-Family Duplex Finish & Flooring Takeoff,SPAULDING DUPLEX.TAKEOFF.pdf,Verified (SMTP Handshake Validated),97,2,Ready for Dispatch,quick question regarding Beacon Floors Associates's takeoff bandwidth,$150 - $350 per project
58,Legacy Builders Contractors,Michael Martin,Michael,Chief Estimator,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Miami-Fort Lauderdale,FL,Southeast,michael@legacybuilds.com,(322) 788-8907,https://www.legacybuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),99,3,Ready for Dispatch,bid capacity for Legacy Builders Contractors - 24-48 hr turnaround,$250 - $600 per project
59,Metro General Contracting Builders,Anthony Perez,Anthony,Managing Partner,Residential Custom Builders & Remodelers,Residential Divisions / Lumber & Material Lists,Boston,MA,Northeast,aperez@metrobuilds.com,(376) 693-2322,https://www.metrobuilds.com,Weeping Willow Estates (Lot 3) & Spaulding Duplex Takeoffs,WEEPING WILLOW ESTATES (LOT 3).TAKEOFF.pdf,Verified (SMTP Handshake Validated),96,4,Ready for Dispatch,outsource takeoff support for Metro General Contracting Builders (Boston),$250 - $600 per project
